,YEAR_WEEK,BRAND,alex_SPEND,fiona_SPEND,jack_SPEND,laura_SPEND,lisa_SPEND,marc_SPEND,mary_SPEND,tom_SPEND,is_last_week,IS_JANUARY,IS_FEBRUARY,IS_MARCH,IS_APRIL,IS_MAY,IS_JUNE,IS_JULY,IS_AUGUST,IS_SEPTEMBER,IS_OCTOBER,IS_NOVEMBER,IS_DECEMBER,TARGET_VOL_SO,PROMOTION_FEATURE
119,201836,visitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,256388.0,0.06175816718953431
120,201837,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,67491.0,0.10496077946370673
121,201837,fast_duck,0.0,0.0,0.0,0.0,0.0,0.0,7901.19,4990.14,0,0,0,0,0,0,0,0,0,1,0,0,0,455497.1,0.08074913931138057
122,201837,gold_plane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,30453.7,0.06084705522113678
123,201837,gracious_road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,15933.8,0.1215047295561713
124,201837,heavy_feather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,16874.7,0.09216612601010331
125,201837,ideal_mouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,7223.3,0.030375799497867395
126,201837,lully,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,95427.9,0.07316474995226138
127,201837,moistured_bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1527.48,0,0,0,0,0,0,0,0,0,1,0,0,0,29006.2,0.016438920245426113
128,201837,red_ballon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.64,0,0,0,0,0,0,0,0,0,1,0,0,0,1319.5,0.02659017119948889
129,201837,silver_coin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,22591.0,0.07698971900761921
130,201837,viable_line,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,120847.8,0.0638386724689495
131,201837,visitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,154190.0,0.07138704210440275
132,201838,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,61214.0,0.07815757322547767
133,201838,fast_duck,0.0,0.0,0.0,0.0,0.0,0.0,5223.64,6820.6,0,0,0,0,0,0,0,0,0,1,0,0,0,434407.8,0.08165345210877968
134,201838,gold_plane,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,26958.4,0.06110779277862049
135,201838,gracious_road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,13747.5,0.09730779754756155
136,201838,heavy_feather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,15869.7,0.10956096584858475
137,201838,ideal_mouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,6378.8,0.03408590204454404
138,201838,lully,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,89120.9,0.07419587801184489
139,201838,moistured_bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2816.42,0,0,0,0,0,0,0,0,0,1,0,0,0,27214.6,0.014444893853367682
140,201838,red_ballon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.77,0,0,0,0,0,0,0,0,0,1,0,0,0,1293.3,0.026873780184418977
141,201838,silver_coin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1339.28,0,0,0,0,0,0,0,0,0,1,0,0,0,22004.4,0.07672801010042805
142,201838,viable_line,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.59,0,0,0,0,0,0,0,0,0,1,0,0,0,113524.0,0.06169228685680229
143,201838,visitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,139696.5,0.08736810121972984
144,201839,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,52248.0,0.06189493401520687
145,201839,fast_duck,0.0,0.0,0.0,0.0,0.0,0.0,11877.36,8077.0,0,0,0,0,0,0,0,0,0,1,0,0,0,627647.6,0.09542033375201656
146,201839,gold_plane,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,38191.4,0.03247818722345906
147,201839,gracious_road,0.0,0.0,301.57,0.0,0.0,0.0,0.0,1849.66,0,0,0,0,0,0,0,0,0,1,0,0,0,17060.2,0.13042318933193553
148,201839,heavy_feather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,16640.2,0.10910940744732656
149,201839,ideal_mouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,5950.5,0.026617379875995887
150,201839,lully,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,89917.3,0.07488391042943059
151,201839,moistured_bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4654.25,0,0,0,0,0,0,0,0,0,1,0,0,0,28329.5,0.022797530322774064
152,201839,red_ballon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.58,0,0,0,0,0,0,0,0,0,1,0,0,0,1128.0,0.013366445296813122
153,201839,silver_coin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1498.27,0,0,0,0,0,0,0,0,0,1,0,0,0,22483.9,0.07770005077497012
154,201839,viable_line,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.41,0,0,0,0,0,0,0,0,0,1,0,0,0,241104.8,0.08495020926164897
155,201839,visitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,143795.6,0.058392409798908876
