,YEAR_WEEK,BRAND,VOLUME_SO,relative_gap_to_90th_price
1376,202043,visitor,199281.5,0.016712153153703765
1377,202044,visitor,182940.6,0.026315143991125292
1378,202045,visitor,184783.1,0.0211131327063908
1379,202046,visitor,174329.1,0.009755213344962366
1380,202047,visitor,164765.9,0.0024441196625771128
1381,202048,visitor,174755.3,0.016289428556590973
1382,202049,visitor,203445.8,0.008761939671559197
1383,202050,visitor,189924.9,0.00678155482953512
1384,202051,visitor,226483.4,0.0005988591442125511
1385,202052,visitor,237528.2,0.0057404568817970335
1386,202053,visitor,244456.0,0.020367304302654553
1387,202101,visitor,174340.9,0.017964225623043478
1388,202102,visitor,170432.9,0.018009535238925952
1389,202103,visitor,221024.4,0.025214708598818733
1390,202104,visitor,186921.8,0.02156267966798386
1391,202105,visitor,170622.9,0.013203408322848127
1392,202106,visitor,170632.9,0.00806348241516973
1393,202107,visitor,207850.7,0.020094241267659175
1394,202108,visitor,226876.1,0.02463667582311305
1395,202109,visitor,197320.3,0.028980996314075285
1396,202110,visitor,215253.4,0.01861385038124307
1397,202111,visitor,180248.1,0.011428449924048956
1398,202112,visitor,206015.9,0.020679413878774682
1399,202113,visitor,206602.1,0.013708572905362284
1400,202114,visitor,159896.5,-0.00021802660615249876
1401,202115,visitor,168448.2,-0.00110561381400241
1402,202116,visitor,168598.6,-0.0014620021601418815
1403,202117,visitor,196470.6,0.014154976319164988
1404,202118,visitor,217066.3,0.01013067810461712
1405,202119,visitor,237804.0,0.004074019312127309
1406,202120,visitor,207252.1,-0.0005425071579587158
1407,202121,visitor,170956.5,-0.008941264045515391
1408,202122,visitor,172128.2,-0.008352722233633068
1409,202123,visitor,213935.5,0.01275831610621717
1410,202124,visitor,179169.4,0.0006161719742679934
1411,202125,visitor,155407.4,-0.007120684769170196
1412,202126,visitor,163259.8,-0.008110544971307547
1413,201827,gracious_road,14844.3,0.08864907265106432
1414,201828,gracious_road,14626.3,0.09130873333442227
1415,201829,gracious_road,13881.1,0.08825383740027348
1416,201830,gracious_road,14011.9,0.08597628129885752
1417,201831,gracious_road,14335.6,0.08610750166949845
1418,201832,gracious_road,14165.7,0.08677780446339667
1419,201833,gracious_road,14591.9,0.08749998452644898
1420,201834,gracious_road,13393.5,0.0879755213852822
1421,201835,gracious_road,13418.9,0.08756970617454722
1422,201836,gracious_road,13864.2,0.09016328372303535
1423,201837,gracious_road,15933.8,0.1215047295561713
1424,201838,gracious_road,13747.5,0.09730779754756155
1425,201839,gracious_road,17060.2,0.13042318933193553
1426,201840,gracious_road,16546.3,0.10954146096713699
1427,201841,gracious_road,15744.3,0.10187261655356976
1428,201842,gracious_road,14370.1,0.0954514907436094
1429,201843,gracious_road,19634.9,0.11100895030271594
1430,201844,gracious_road,26470.2,0.09311715625765503
