CATEGORY,BRAND,EAN,YEAR_WEEK,DISTRIBUTION_CODE,SALES_SO,VOLUME_SO,SALES_SO_PROMO,VOLUME_SO_PROMO,sales_non_promo,volume_non_promo,,
joy,angry_cat,,202040,hyper_top,373941.7,52266.8,24782,3542.8,,,,
joy,angry_cat,,202041,hyper_top,397591.2,57285.7,61752.3,10506.1,,,,
joy,angry_cat,,202042,hyper_top,636446,90909.6,298245.3,43039.8,,,,
joy,angry_cat,,202043,hyper_top,474770.9,67846.7,137443.8,19859.9,,,,
joy,angry_cat,,202044,hyper_top,542393,77824.7,171605.1,25767.8,,,,
joy,angry_cat,,202045,hyper_top,389454.7,55317.7,83362.4,12890.1,,,,
joy,angry_cat,,202046,hyper_top,373210.4,52249.7,25263.5,3905.2,,,,
joy,angry_cat,,202047,hyper_top,435522.3,61085.5,99566.6,14439.8,,,,
joy,angry_cat,,202048,hyper_top,397256.8,55559.9,66661.5,9488.2,,,,
joy,angry_cat,,202049,hyper_top,660141.8,94270,320530.3,46515.8,,,,
joy,angry_cat,,202050,hyper_top,523859.2,74492,180114,26042,,,,
joy,angry_cat,,202051,hyper_top,583312.2,83092.5,203310.1,29715.6,,,,
joy,angry_cat,,202052,hyper_top,492697.3,69729.5,139871.9,20197.3,,,,
joy,angry_cat,,202053,hyper_top,416056.6,58358.6,49589.7,7093.3,,,,
joy,angry_cat,,202101,hyper_top,368696.6,51576.1,65093.7,9307.1,,,,
joy,angry_cat,,202102,hyper_top,374343.1,53109.8,76787.3,11879.6,,,,
joy,angry_cat,,202103,hyper_top,382129.1,55327.3,56828.7,9928,,,,
joy,angry_cat,,202104,hyper_top,385676.4,55170.8,37592.2,6667.6,,,,
joy,angry_cat,,202105,hyper_top,356443.4,50194.1,20284,3235.3,,,,
joy,angry_cat,,202106,hyper_top,360270.5,50354,13756.5,1962.7,,,,
joy,angry_cat,,202107,hyper_top,394904.1,57173.3,52513.3,8983.2,,,,
joy,angry_cat,,202108,hyper_top,382962.5,53849.1,8743,1221,,,,
joy,angry_cat,,202109,hyper_top,431341.7,60744.4,63322.5,9350.9,,,,
joy,angry_cat,,202110,hyper_top,408154.4,57243.7,35651.2,5282.6,,,,
joy,angry_cat,,202111,hyper_top,380474.2,53066,11914.9,1729.1,,,,
joy,angry_cat,,202112,hyper_top,487635.7,68857.3,168447.7,24488.2,,,,
joy,angry_cat,,202113,hyper_top,480551.2,67561.8,114091.6,16581,,,,
joy,angry_cat,,202114,hyper_top,359367.2,48933.6,11913.5,1711.5,,,,
joy,angry_cat,,202115,hyper_top,398292.9,53628.1,8465.9,1149.1,,,,
joy,angry_cat,,202116,hyper_top,397314.1,53307.8,4227.7,571.7,,,,
joy,angry_cat,,202117,hyper_top,380948.2,51125,15133.7,2327,,,,
joy,angry_cat,,202118,hyper_top,546048.7,72680.2,151750.6,20458.2,,,,
joy,angry_cat,,202119,hyper_top,501415.9,67434.5,128355.9,18172.2,,,,
joy,angry_cat,,202120,hyper_top,447185,59953,71907.4,10433.6,,,,
joy,angry_cat,,202121,hyper_top,407131.1,53833.9,42868.3,5814.4,,,,
joy,angry_cat,,202122,hyper_top,402697.1,53074.2,48802.6,6604.4,,,,
joy,angry_cat,,202123,hyper_top,474129.6,63038.9,162633.7,22241.1,,,,
joy,angry_cat,,202124,hyper_top,434352.8,57579,109243.4,14883.6,,,,
joy,angry_cat,,202125,hyper_top,411127,54346.5,66289,9048.1,,,,
joy,angry_cat,,202126,hyper_top,403283.9,53172.4,38764.3,5325,,,,
joy,lully,,201827,hyper_top,2299437.5,127639.2,634869.1,36520.8,,,,
joy,fast_duck,,201827,hyper_top,10430218,541808.2,1331080.9,70960.2,19.250757,18.75813343,19.19370989,
