draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta1.1,beta1.2,beta1.3,beta1.4,beta1.5,beta1.6,beta1.7,beta1.8,beta1.9,beta1.10,beta1.11,beta1.12,alpha,noise_var
1751,216.34830956371476,0.9274764310383632,0.09639360725096661,4.0,15.0,0.0,-210.60139484142496,0.45098762964413996,0.5140422969988975,0.6373498907664937,0.5230798152503363,0.6099553855695858,0.35484976113734434,0.3180505639016221,0.48399756283043566,0.5073544440935608,0.6660712409985882,0.5506522229773286,0.46655301417228945,0.49157703295715593,0.013473497939733604
1752,217.8947424541706,0.009098003464443958,0.11776663328442276,4.0,15.0,0.0,-210.79521456441236,0.42829002281019224,0.4479141222316566,0.645917842207781,0.6168986206297495,0.5636481233420187,0.33307822181717917,0.3698483211324955,0.5477409094858047,0.5673097101389476,0.6275354161291409,0.52472893732137,0.5084977861634125,0.4780230896284579,0.016927692678178143
1753,219.01199971985403,0.9774931543297506,0.052221017393700386,5.0,31.0,0.0,-212.55102100308366,0.4776668212491655,0.4417596360202409,0.7106766659968607,0.5726221224912695,0.5895579849981045,0.33765886180139615,0.37454219465244737,0.5393193589039162,0.5523955390879864,0.6761026955844699,0.5384810004182596,0.5696880877449969,0.47091676897569484,0.01779174298666802
1754,219.277530885973,0.4666708793719886,0.20985579023658457,4.0,15.0,0.0,-213.9618317642213,0.36393410909845025,0.3833430675723486,0.5421070630197816,0.4625494424905592,0.4923353117061268,0.30058920042845083,0.3332690488221511,0.3951031113416281,0.44384793549354556,0.5445607268305301,0.44121619781951693,0.4708276566000451,0.5809579615126285,0.0162093221360856
1755,218.60134140061734,0.9974869199304236,0.09639360725096661,4.0,15.0,0.0,-211.08698845303275,0.44226888637360945,0.42987147934111575,0.6400829621024028,0.5622492099472636,0.6044952230328875,0.3089885296260594,0.44621969482591617,0.4850344054654414,0.5133038322087343,0.6484889913010441,0.45760520463231275,0.5180159102925829,0.4962534407650741,0.013211843850289591
1756,217.8947424541706,1.64438066045538e-05,0.11776663328442276,4.0,19.0,0.0,-207.79118285607677,0.42829002281019224,0.4479141222316566,0.645917842207781,0.6168986206297495,0.5636481233420187,0.33307822181717917,0.3698483211324955,0.5477409094858047,0.5673097101389476,0.6275354161291409,0.52472893732137,0.5084977861634125,0.4780230896284579,0.016927692678178143
1757,218.01286024976872,0.9988083150802848,0.052221017393700386,5.0,31.0,0.0,-214.08936732633163,0.47636644291346086,0.531354055203992,0.6366981486375247,0.6109338454615622,0.6444545058395301,0.49668707600218576,0.44259818467754924,0.46969710377147805,0.5344909015280727,0.6544425571153868,0.538865275696014,0.5723233981612016,0.4514903245975367,0.01801380158793709
1758,219.54399059195592,0.5400077982268587,0.20985579023658457,3.0,15.0,0.0,-215.71186019842287,0.36651691284000787,0.39083869558459755,0.5436514993710234,0.4532646310754392,0.49358471238174134,0.31154005504292676,0.30417468584995466,0.39553947815937235,0.4524555173810892,0.548506374407603,0.43461565112261086,0.4811907797662064,0.5804825924433926,0.015602159332332215
1759,217.3630989821536,0.5849049765303675,0.09639360725096661,4.0,15.0,0.0,-209.14773141716984,0.4672207702547426,0.40489880306022114,0.6336349799214465,0.5196148873037736,0.5445421875828568,0.43835610658986407,0.33020772457749187,0.4924514385928788,0.5319461038582456,0.6294972613298957,0.5430324349726329,0.462709144760201,0.49789608624092857,0.015489503274382957
1760,219.77416612907,0.25069162890875735,0.11776663328442276,3.0,15.0,0.0,-214.6561861861366,0.43100440008032775,0.42726976070962935,0.6529816553481151,0.5980280675033925,0.5393178397410223,0.37197170067738944,0.34582621599384084,0.5135654030880774,0.5249819345307108,0.6178580575045647,0.5251939563783372,0.5009330791036573,0.5029216566518738,0.016851764600410792
