CATEGORY,BRAND,SUB_BRAND,BRAND_QUALITY_ID,EAN,YEAR_WEEK,DISTRIBUTION_CODE,DISTRIBUTION,DISTRIBUTION_PROMO,DISTRIBUTION_DISPLAY,DISTRIBUTION_FEATURE_DISPLAY,DISTRIBUTION_FEATURE
joy,lully,,,,201852,hyper_top,98,1,22,0,37
joy,fast_duck,,,,201852,hyper_top,100,0,37,0,50
joy,lully,,,,201901,hyper_top,98,1,20,0,4
joy,fast_duck,,,,201901,hyper_top,100,0,34,0,15
joy,lully,,,,201902,hyper_top,98,13,18,0,39
joy,fast_duck,,,,201902,hyper_top,100,15,30,0,20
joy,lully,,,,201903,hyper_top,97,13,11,0,35
joy,fast_duck,,,,201903,hyper_top,100,9,23,0,11
joy,lully,,,,201904,hyper_top,98,0,18,0,0
joy,fast_duck,,,,201904,hyper_top,100,1,24,0,4
joy,lully,,,,201905,hyper_top,97,0,12,0,0
joy,fast_duck,,,,201905,hyper_top,100,0,25,0,24
joy,lully,,,,201906,hyper_top,97,0,11,0,4
joy,fast_duck,,,,201906,hyper_top,100,0,23,0,45
joy,lully,,,,201907,hyper_top,97,0,7,0,5
joy,fast_duck,,,,201907,hyper_top,100,0,27,0,12
joy,lully,,,,201908,hyper_top,97,0,7,0,3
joy,fast_duck,,,,201908,hyper_top,100,0,31,0,8
joy,lully,,,,201909,hyper_top,97,0,7,0,5
joy,fast_duck,,,,201909,hyper_top,100,0,28,0,0
joy,lully,,,,201910,hyper_top,97,0,5,0,4
joy,fast_duck,,,,201910,hyper_top,100,0,23,0,8
joy,lully,,,,201911,hyper_top,97,0,7,0,0
joy,fast_duck,,,,201911,hyper_top,100,0,22,0,13
joy,lully,,,,201912,hyper_top,97,12,4,0,12
joy,fast_duck,,,,201912,hyper_top,99,0,15,0,24
joy,lully,,,,201913,hyper_top,96,10,4,0,18
joy,fast_duck,,,,201913,hyper_top,100,0,18,0,22
joy,lully,,,,201914,hyper_top,96,1,3,0,1
joy,fast_duck,,,,201914,hyper_top,100,0,22,0,0
joy,lully,,,,201915,hyper_top,97,1,3,0,27
joy,fast_duck,,,,201915,hyper_top,100,0,21,0,23
joy,lully,,,,201916,hyper_top,98,1,4,0,36
joy,fast_duck,,,,201916,hyper_top,100,0,22,0,55
joy,lully,,,,201917,hyper_top,98,1,11,0,3
joy,fast_duck,,,,201917,hyper_top,100,0,24,0,1
joy,lully,,,,201918,hyper_top,98,0,9,0,2
joy,fast_duck,,,,201918,hyper_top,100,0,26,0,15
joy,lully,,,,201919,hyper_top,98,0,10,0,15
joy,fast_duck,,,,201919,hyper_top,100,1,26,0,16
joy,lully,,,,201920,hyper_top,98,0,8,0,3
joy,fast_duck,,,,201920,hyper_top,100,0,22,0,2
joy,lully,,,,201921,hyper_top,98,0,10,0,0
joy,fast_duck,,,,201921,hyper_top,100,0,22,0,14
joy,lully,,,,201922,hyper_top,98,0,7,0,0
joy,fast_duck,,,,201922,hyper_top,100,0,25,0,19
joy,lully,,,,201923,hyper_top,98,13,8,0,16
joy,fast_duck,,,,201923,hyper_top,100,25,22,0,64
joy,lully,,,,201924,hyper_top,98,11,7,0,25
joy,fast_duck,,,,201924,hyper_top,100,0,27,0,38
joy,lully,,,,201925,hyper_top,98,0,10,0,28
joy,fast_duck,,,,201925,hyper_top,100,0,33,0,22
joy,lully,,,,201926,hyper_top,98,0,10,0,4
joy,fast_duck,,,,201926,hyper_top,100,0,29,0,29
joy,lully,,,,201927,hyper_top,98,0,9,0,21
joy,fast_duck,,,,201927,hyper_top,100,0,29,0,28
joy,lully,,,,201928,hyper_top,98,0,12,0,11
joy,fast_duck,,,,201928,hyper_top,100,0,27,0,33
joy,lully,,,,201929,hyper_top,98,0,15,0,0
joy,fast_duck,,,,201929,hyper_top,100,0,29,0,32
joy,lully,,,,201930,hyper_top,98,0,11,0,19
joy,fast_duck,,,,201930,hyper_top,100,0,34,0,29
joy,lully,,,,201931,hyper_top,98,0,16,0,31
