,YEAR_WEEK,BRAND,alex,fiona,jack,laura,lisa,marc,mary,tom,is_last_week,is_january,is_february,is_march,is_april,is_may,is_june,is_july,is_august,is_september,is_october,is_november,is_december,TARGET_VOL_SO,PROMOTION_FEATURE,distribution,DISTRIBUTION_REF,YEAR,PRICE,AVERAGE_PRICE
67,201832,gold_plane,0.0,0.0,7812.26,10759.807692308,0.0,0.0,18481.74,30153.307692308,0,0,0,0,0,0,0,0,1,0,0,0,0,55679.8,0.0790955146580715,0.043010752688172046,93.0,2018,22.398609549603268,22.687164809846607
68,201832,gracious_road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750.51,0,0,0,0,0,0,0,0,1,0,0,0,0,14165.7,0.08677780446339667,0.06741573033707865,89.0,2018,40.62912528148979,40.26611060928006
69,201832,heavy_feather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,16062.3,0.11155141201206566,0.09302325581395349,86.0,2018,34.92413290749146,35.25365924774428
70,201832,ideal_mouse,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,3741.85,0,0,0,0,0,0,0,0,1,0,0,0,0,14011.5,0.0340724513194914,0.2459016393442623,61.0,2018,15.452870856082503,15.659336474243835
71,201832,lully,0.0,0.0,10681.08,0.0,0.0,0.0,0.0,6292.75,0,0,0,0,0,0,0,0,1,0,0,0,0,146334.2,0.07723244276120957,0.03125,96.0,2018,18.082541880161983,18.083971900701833
72,201832,moistured_bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.5,0,0,0,0,0,0,0,0,1,0,0,0,0,34042.3,0.028675606595361523,0.10344827586206896,87.0,2018,24.635247912156345,24.608666114232967
73,201832,precious_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,25443.8,0.03969144282420728,0.16666666666666666,84.0,2018,36.01026183195906,35.590321970148764
74,201832,red_ballon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.63,0,0,0,0,0,0,0,0,1,0,0,0,0,1722.8,0.04194680762841246,0.15789473684210525,38.0,2018,24.182667750174137,24.49527491212063
75,201832,silver_coin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.43,0,0,0,0,0,0,0,0,1,0,0,0,0,22512.1,0.07760868073761731,0.07777777777777778,90.0,2018,26.315266012499947,26.298994981372765
76,201832,viable_line,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1096.56,0,0,0,0,0,0,0,0,1,0,0,0,0,145355.6,0.07146530109143007,0.02040816326530612,98.0,2018,19.146252363170046,19.015696215177623
77,201832,visitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,159878.2,0.07207259640375054,0.041666666666666664,96.0,2018,20.49958280741214,20.483165901258772
78,201833,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,57565.0,0.060316320349150174,0.1411764705882353,85.0,2018,6.747886736732389,6.654037187856543
